Designator,Mid X,Mid Y,Rotation,Layer
C1,48.800001,-15.375001,0.0,bottom
C10,59.260001,-13.980001,180.0,top
C11,58.225001,-12.100001,270.0,top
C12,50.455121,-9.650001,90.0,top
C13,56.155121,-9.650001,270.0,top
C14,49.340001,-7.560001,0.0,bottom
C15,17.100001,-16.900001,180.0,bottom
C16,17.550001,-6.125001,0.0,bottom
C17,18.212501,-11.900001,90.0,bottom
C18,7.705121,-10.337501,180.0,bottom
C19,19.657381,-21.300001,270.0,top
C2,48.775001,-14.150001,0.0,bottom
C20,24.540001,-18.800001,0.0,top
C21,24.857381,-25.137501,180.0,top
C22,22.500001,-23.900001,0.0,bottom
C23,20.200001,-5.800001,0.0,top
C24,19.300001,-12.300001,0.0,top
C26,48.717621,-11.600001,180.0,bottom
C27,54.717621,-9.550001,0.0,bottom
C28,54.717621,-10.550001,0.0,bottom
C29,48.817621,-17.350001,180.0,bottom
C3,45.400001,-12.900001,270.0,bottom
C30,48.817621,-16.350001,180.0,bottom
C31,50.942621,-19.250001,0.0,bottom
C32,50.942621,-18.250001,0.0,bottom
C33,43.000001,-11.400001,90.0,bottom
C34,44.000001,-11.400001,90.0,bottom
C35,54.337621,-19.275001,180.0,bottom
C36,54.337621,-18.275001,180.0,bottom
C37,52.617621,-19.825001,90.0,bottom
C38,48.300001,-12.600001,180.0,bottom
C39,32.300001,-19.200001,270.0,bottom
C4,39.200001,-10.400001,90.0,bottom
C40,56.400001,-14.400001,180.0,top
C41,55.200001,-13.400001,180.0,top
C42,56.520001,-15.400001,180.0,top
C43,46.100001,-15.500001,0.0,top
C44,26.600001,-12.100001,0.0,bottom
C5,40.507381,-9.775001,90.0,bottom
C6,39.200001,-21.700001,270.0,bottom
C7,41.300001,-22.700001,180.0,bottom
C8,37.200001,-21.300001,90.0,bottom
C9,36.200001,-21.300001,90.0,bottom
D1,24.650001,-21.400001,180.0,bottom
D2,25.200001,-13.800001,0.0,bottom
D4,1.700001,-10.400001,0.0,bottom
FB1,45.025001,-10.400001,90.0,bottom
FB2,38.200001,-21.000001,270.0,bottom
FB3,35.200001,-20.985001,270.0,bottom
FID1,57.857381,-3.800001,0.0,top
FID2,41.600001,-24.000001,0.0,top
FID3,4.157381,-24.300001,0.0,top
H3,44.597399,-10.605192,0.0,top
J1,36.757381,-21.700001,90.0,top
J11,8.600001,-19.250001,90.0,top
J13,-1.049999,-14.950001,90.0,top
J14,3.750001,-14.950001,90.0,top
J2,46.100001,-21.653146,90.0,top
J3,13.400001,-19.250001,90.0,top
J4,29.0,0.0,0.0,bottom
J5,0.757381,-6.800001,180.0,top
J6,8.757381,-6.790001,180.0,top
J7,27.220001,-8.075001,180.0,top
J8,35.257381,-8.060001,180.0,top
J9,52.500001,-21.653146,90.0,top
L4,30.057381,-22.400001,90.0,top
MK1,59.857381,-11.700001,180.0,top
Q1,23.747381,-15.237501,90.0,top
Q2,29.100001,-23.400001,180.0,bottom
R1,46.875001,-15.375001,0.0,bottom
R12,0.700001,-3.600001,180.0,top
R13,-2.099999,-4.300001,270.0,top
R14,21.700001,-6.100001,270.0,top
R15,18.300001,-6.000001,0.0,top
R18,12.300001,-4.500001,0.0,bottom
R19,38.600001,-5.500001,180.0,top
R2,46.875001,-14.150001,0.0,bottom
R20,8.200001,-8.000001,90.0,bottom
R21,7.200001,-7.990001,90.0,bottom
R22,47.100001,-14.500001,180.0,top
R23,54.600001,-16.300001,0.0,top
R24,23.610001,-17.700001,180.0,top
R25,22.800001,-6.100001,270.0,top
R26,21.667381,-13.200001,270.0,top
R27,23.167381,-12.700001,0.0,top
R28,25.300001,-16.700001,180.0,top
R29,19.100001,-16.900001,180.0,bottom
R3,40.500001,-20.900001,270.0,bottom
R31,16.012501,-9.950001,0.0,bottom
R32,7.12,-12.887501,270.0,bottom
R33,4.300001,-10.400001,0.0,bottom
R34,26.892621,-9.275001,90.0,bottom
R35,25.892621,-9.275001,90.0,bottom
R38,34.700001,-9.360001,90.0,bottom
R39,33.700001,-9.360001,90.0,bottom
R4,39.957381,-11.900001,0.0,bottom
R40,21.700001,-18.700001,90.0,bottom
R5,44.300001,-20.900001,270.0,bottom
R6,47.800001,-8.800001,270.0,bottom
R7,57.317621,-15.150001,0.0,bottom
R8,33.000001,-21.200001,90.0,bottom
R9,18.300001,-5.000001,180.0,top
TH1,1.500001,-13.700001,270.0,bottom
TP2,58.600001,-18.600001,0.0,top
TP3,29.700001,-15.825001,90.0,top
TP4,33.300001,-15.825001,90.0,top
U1,39.852381,-16.175001,180.0,bottom
U10,29.650001,-19.700001,270.0,bottom
U11,19.995001,-9.005001,90.0,top
U2,52.850001,-14.375001,270.0,bottom
U3,53.317621,-9.650001,180.0,top
U5,14.807381,-6.462501,270.0,bottom
U6,15.962501,-12.550001,0.0,bottom
U7,9.750001,-12.337501,180.0,bottom
U8,18.000001,-19.300001,270.0,bottom
U9,25.040001,-21.400001,0.0,top
Y1,49.917621,-9.570001,180.0,bottom
