"Comment","Designator","Footprint","JLCPCB Part #"
"1u","C1, C10, C2, C27, C29, C3, C31, C33, C35, C4, C40, C41, C42, C43, C6","0402","C52923"
"100n","C11, C14, C15, C16, C17, C18, C26, C28, C30, C32, C36, C38","0402","C307331"
"10u","C12, C13, C37, C5, C7","0603","C1691"
"10u 63V","C19","CP_Elec_6.3x7.7","C72488"
"100n 50V","C20","0402","C307331"
"22u 6V3","C21, C22","0603","C84419"
"100n 6V3","C23, C24, C39","0402","C1525"
"10n","C34, C44","0402","C15195"
"220n","C8, C9","0402","C71693"
"BAT54W","D1","SOT-323_SC-70","C78606"
"3V3 Zener Diode","D2","D_SOD-123","C19077392"
"5V1","D4","D_SOD-323","C151348"
"1.3A 600R@100MHz","FB1","0402","C76884"
"2A - 120R@100MHz","FB2, FB3","0402","C88970"
"Wago-2","J1, J2, J9","Wago_2059-302_998-403","C2765060"
"Dynamixel-4","J11, J3","JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical","C160258"
"Dynamixel-3","J13, J14","JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical","C160259"
"Female Header 2x20 SMD","J4","PinHeader_2x20_P2.54mm_Vertical_with_rasp_HAT_zero_SMD_connector","C2685112"
"JST SH","J5, J6, J7, J8","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390"
"6.8u 2A","L4","L_Bourns_SRN6045TA","C57254"
"Microphone_MEMS","MK1","MIC-SMD_4P-L2.8-W1.9-P1.84-TL","C7587901"
"MMBT3906","Q1","SOT-23","C727128"
"SI2312CDS-T1-GE3","Q2","TSOT-23","C142518"
"10k","R1, R12, R13, R2, R20, R21, R22, R23, R24, R26, R27, R29, R31, R32, R34, R35, R38, R39, R6","0402","C25744"
"0R","R14, R15, R18, R19, R25, R3, R4, R40, R5, R7, R9","0402","C17168"
"20k","R28","0402","C25765"
"150R","R33","0402","C138054"
"100R","R8","0402","C2906860"
"100R thermistor","TH1","0603","C913703"
"TestPoint","TP2, TP3, TP4","TestPoint_Loop_D2.50mm_Drill1.0mm_LowProfile",""
"PAM8406D","U1","SOIC-16_3.9x9.9mm_P1.27mm","C86270"
"LM5050-1","U10","TSOT-23-6","C473393"
"BMI088","U11","Bosch_LGA-16_4.5x3mm_P0.5mm_LayoutBorder7x1y_ClockwisePinNumbering","C194919"
"TLV320AIC3104IRHBR","U2","VQFN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm","C181753"
"XC6206P182MR","U3","SOT-23-3","C347373"
"74LVC1G08","U5","SOT-23-5","C7666"
"SN74LVC1G125DBV","U6","SOT-23-5","C3040625"
"SN74LVC1G126DBVR","U7","SOT-23-5","C7834"
"SIT3088E","U8","MSOP-8-1EP_3x3mm_P0.65mm_EP1.5x1.8mm","C2922535"
"AP63205","U9","TSOT-23-6","C2071056"
"12 MHz","Y1","Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm","C7425459"
